CODE,NAME
"004","Afghanistan"
"024","Angola"
"008","Albania"
"784","United Arab Emirates"
"032","Argentina"
"051","Armenia"
"-099","Antarctica"
"-099","Fr. S. Antarctic Lands"
"036","Australia"
"040","Austria"
"031","Azerbaijan"
"108","Burundi"
"056","Belgium"
"204","Benin"
"854","Burkina Faso"
"050","Bangladesh"
"100","Bulgaria"
"044","Bahamas"
"070","Bosnia and Herz."
"112","Belarus"
"084","Belize"
"068","Bolivia"
"076","Brazil"
"096","Brunei"
"064","Bhutan"
"072","Botswana"
"140","Central African Rep."
"124","Canada"
"756","Switzerland"
"152","Chile"
"156","China"
"384","C̫te d'Ivoire"
"120","Cameroon"
"180","Dem. Rep. Congo"
"178","Congo"
"170","Colombia"
"188","Costa Rica"
"192","Cuba"
"-099","N. Cyprus"
"196","Cyprus"
"203","Czech Rep."
"276","Germany"
"262","Djibouti"
"208","Denmark"
"214","Dominican Rep."
"012","Algeria"
"218","Ecuador"
"818","Egypt"
"232","Eritrea"
"724","Spain"
"233","Estonia"
"231","Ethiopia"
"246","Finland"
"242","Fiji"
"238","Falkland Is."
"250","France"
"266","Gabon"
"826","United Kingdom"
"268","Georgia"
"288","Ghana"
"324","Guinea"
"270","Gambia"
"624","Guinea-Bissau"
"226","Eq. Guinea"
"300","Greece"
"304","Greenland"
"320","Guatemala"
"328","Guyana"
"340","Honduras"
"191","Croatia"
"332","Haiti"
"348","Hungary"
"360","Indonesia"
"356","India"
"372","Ireland"
"364","Iran"
"368","Iraq"
"352","Iceland"
"376","Israel"
"380","Italy"
"388","Jamaica"
"400","Jordan"
"392","Japan"
"398","Kazakhstan"
"404","Kenya"
"417","Kyrgyzstan"
"116","Cambodia"
"410","Korea"
"-099","Kosovo"
"414","Kuwait"
"418","Lao PDR"
"422","Lebanon"
"430","Liberia"
"434","Libya"
"144","Sri Lanka"
"426","Lesotho"
"440","Lithuania"
"442","Luxembourg"
"428","Latvia"
"504","Morocco"
"498","Moldova"
"450","Madagascar"
"484","Mexico"
"807","Macedonia"
"466","Mali"
"104","Myanmar"
"499","Montenegro"
"496","Mongolia"
"508","Mozambique"
"478","Mauritania"
"454","Malawi"
"458","Malaysia"
"516","Namibia"
"540","New Caledonia"
"562","Niger"
"566","Nigeria"
"558","Nicaragua"
"528","Netherlands"
"578","Norway"
"524","Nepal"
"554","New Zealand"
"512","Oman"
"586","Pakistan"
"591","Panama"
"604","Peru"
"608","Philippines"
"598","Papua New Guinea"
"616","Poland"
"630","Puerto Rico"
"408","Dem. Rep. Korea"
"620","Portugal"
"600","Paraguay"
"275","Palestine"
"634","Qatar"
"642","Romania"
"643","Russia"
"646","Rwanda"
"732","W. Sahara"
"682","Saudi Arabia"
"729","Sudan"
"728","S. Sudan"
"686","Senegal"
"090","Solomon Is."
"694","Sierra Leone"
"222","El Salvador"
"-099","Somaliland"
"706","Somalia"
"688","Serbia"
"740","Suriname"
"703","Slovakia"
"705","Slovenia"
"752","Sweden"
"748","Swaziland"
"760","Syria"
"148","Chad"
"768","Togo"
"764","Thailand"
"762","Tajikistan"
"795","Turkmenistan"
"626","Timor-Leste"
"780","Trinidad and Tobago"
"788","Tunisia"
"792","Turkey"
"-099","Taiwan"
"834","Tanzania"
"800","Uganda"
"804","Ukraine"
"858","Uruguay"
"840","United States"
"860","Uzbekistan"
"862","Venezuela"
"704","Vietnam"
"548","Vanuatu"
"887","Yemen"
"710","South Africa"
"894","Zambia"
"716","Zimbabwe"